"","playId","gameId.x","avg_linemen_dist","avg_qb_dist","avg_area","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","penaltyYards","prePenaltyPlayResult","playResult","foulName1","foulNFLId1","foulName2","foulNFLId2","foulName3","foulNFLId3","absoluteYardlineNumber","offenseFormation","personnelO","defendersInBox","personnelD","dropBackType","pff_playAction","pff_passCoverage","pff_passCoverageType","gameId.y","hit","hurry","sack","bad_thing"
"11",1041,2021091203,2.60003731842487,59.8227096838462,126.043855555556,"(12:34) K.Cousins pass short right to A.Mattison to MIN 43 for 4 yards (L.Wilson; M.Hilton).",2,1,10,"MIN","CIN","MIN",39,"12:34",0,0,"C",NA,4,4,NA,NA,NA,NA,NA,NA,71,"I_FORM","2 RB, 0 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021101707,0,0,0,"0"
"12",1042,2021091213,2.34571811033301,4.13533953728139,297.283436936937,"(11:51) (Shotgun) M.Stafford pass incomplete short right to C.Kupp.",2,2,4,"LA","CHI","CHI",4,"11:51",10,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,14,"PISTOL","1 RB, 1 TE, 3 WR",7,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-0","Man",2021091213,0,0,0,"0"
"13",1050,2021091205,2.23687540794916,70.2976706897954,101.276976315789,"(:02) (Shotgun) T.Lawrence pass incomplete short left to M.Jones.",1,2,17,"JAX","HOU","JAX",29,"00:02",14,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,39,"SHOTGUN","1 RB, 0 TE, 4 WR",5,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",2021102405,0,0,0,"0"
"14",1053,2021091207,2.34246112914568,67.1531556354355,141.842334090909,"(1:06) (Shotgun) R.Tannehill sacked at TEN 25 for -8 yards (C.Jones).",1,3,9,"TEN","ARI","TEN",33,"01:06",0,10,"S",NA,-8,-8,NA,NA,NA,NA,NA,NA,43,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"2-Man","Man",2021091207,0,0,1,"1"
"15",1054,2021091204,2.70505766047834,45.4814067605399,294.816349425287,"(12:06) (Shotgun) J.Garoppolo pass short left to D.Samuel to DET 38 for 8 yards (W.Harris).",2,1,10,"SF","DET","DET",46,"12:06",7,7,"C",NA,8,8,NA,NA,NA,NA,NA,NA,56,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"5 DL, 2 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",2021101800,0,1,0,"1"
"16",1058,2021091201,2.19113531985408,74.7455216319385,124.302829411765,"(13:32) (No Huddle, Shotgun) J.Allen pass short left to E.Sanders pushed ob at BUF 37 for 13 yards (M.Fitzpatrick).",2,2,9,"BUF","PIT","BUF",24,"13:32",3,0,"C",NA,13,13,NA,NA,NA,NA,NA,NA,34,"EMPTY","1 RB, 1 TE, 3 WR",5,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone",2021103109,0,1,0,"1"
"17",106,2021091212,2.45276155519264,70.8438915275169,108.79147631579,"(14:14) (Shotgun) D.Jones pass deep right to D.Slayton to DEN 30 for 42 yards (K.Fuller). Penalty on DEN-S.Harris, Defensive Offside, declined.",1,3,5,"NYG","DEN","NYG",28,"14:14",0,0,"C",0,42,42,"Defensive Offside",41464,NA,NA,NA,NA,38,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"2 DL, 3 LB, 6 DB","TRADITIONAL",0,"Cover-1","Man",2021101007,0,0,0,"0"
"18",1064,2021091206,2.34926227116552,43.968251808922,217.005587878788,"(10:30) (Shotgun) C.Wentz pass short right to N.Hines to SEA 38 for 6 yards (D.Reed).",2,1,10,"IND","SEA","SEA",44,"10:30",3,14,"C",NA,6,6,NA,NA,NA,NA,NA,NA,66,"EMPTY","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",2021102409,0,1,0,"1"
"19",1064,2021091213,2.35697715382616,6.12056450773513,247.511197222222,"(11:46) (Shotgun) M.Stafford pass incomplete short left to R.Woods.",2,3,4,"LA","CHI","CHI",4,"11:46",10,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,14,"SHOTGUN","1 RB, 1 TE, 3 WR",8,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Red Zone","Other",2021102409,0,1,0,"1"
"20",1074,2021091202,2.16238699966458,38.2910338690779,284.0015,"(12:58) S.Darnold pass deep left to Dj.Moore ran ob at NYJ 13 for 27 yards.",2,2,5,"CAR","NYJ","NYJ",40,"12:58",0,0,"C",NA,27,27,NA,NA,NA,NA,NA,NA,70,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",2021102405,1,1,1,"1"
"21",1075,2021091300,2.12807794376745,64.2456802769604,94.3883981818182,"(13:25) (Shotgun) D.Carr pass short middle to J.Jacobs to LV 41 for 6 yards (M.Harrison).",2,2,10,"LV","BAL","LV",35,"13:25",0,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,45,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021101003,0,0,0,"0"
"22",1078,2021090900,2.16742523921661,92.0755327456765,49.4471,"(14:21) (No Huddle, Shotgun) D.Prescott pass short middle to T.Pollard to DAL 12 for 5 yards (D.White).",2,2,8,"DAL","TB","DAL",7,"14:21",7,7,"C",NA,5,5,NA,NA,NA,NA,NA,NA,17,"SHOTGUN","1 RB, 0 TE, 4 WR",5,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",2021092610,0,0,0,"0"
"23",1081,2021091210,2.44577044388985,23.5889956892358,287.574738461539,"(11:43) (Shotgun) M.Jones pass short right to J.Smith to MIA 18 for 6 yards (N.Needham).",2,2,20,"NE","MIA","MIA",24,"11:43",0,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,86,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",2021101710,0,1,0,"1"
"24",1081,2021091212,2.52336940288575,73.6083018680421,172.047192105263,"(8:56) T.Bridgewater pass short left to N.Fant to DEN 30 for 5 yards (R.Ragland).",2,1,10,"DEN","NYG","DEN",25,"08:56",7,3,"C",NA,5,5,NA,NA,NA,NA,NA,NA,35,"I_FORM","1 RB, 1 TE, 3 WR",7,"2 DL, 4 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",2021101710,0,1,0,"1"
"25",1085,2021091200,2.01034357392433,10.5322412569068,271.423614893617,"(15:00) (Shotgun) M.Ryan pass incomplete short left to M.Davis.",2,3,9,"ATL","PHI","PHI",9,"15:00",3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,19,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Red Zone","Other",2021101007,0,1,1,"1"
"26",1085,2021091209,2.22749254661073,69.0999677435157,185.25473877551,"(10:49) (Shotgun) P.Mahomes pass incomplete deep right to M.Hardman. PENALTY on CLE-J.Clowney, Defensive Offside, 5 yards, enforced at KC 30 - No Play.",2,2,16,"KC","CLE","KC",30,"10:49",3,15,"I",5,0,5,"Defensive Offside",41227,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB",NA,0,"Quarters","Zone",2021101007,0,1,1,"1"
"27",1086,2021091203,2.22490707432185,49.3185256493045,154.182021969697,"(11:14) K.Cousins pass short middle to J.Jefferson to CIN 33 for 17 yards (C.Awuzie) [T.Hendrickson].",2,1,10,"MIN","CIN","",50,"11:14",0,0,"C",NA,17,17,NA,NA,NA,NA,NA,NA,60,"I_FORM","2 RB, 0 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","DESIGNED_ROLLOUT_LEFT",1,"Cover-1","Man",2021092606,1,0,0,"1"
"28",1087,2021091201,2.38058906573295,61.4398665430668,187.422821875,"(13:08) (No Huddle, Shotgun) J.Allen pass short right to C.Beasley to BUF 41 for 4 yards (J.Haden, D.Bush).",2,1,10,"BUF","PIT","BUF",37,"13:08",3,0,"C",NA,4,4,NA,NA,NA,NA,NA,NA,47,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",2021101011,0,0,0,"0"
"29",1090,2021091207,4.41913461745958,67.8761684583813,215.097611574074,"(:31) (Shotgun) K.Murray sacked ob at ARI 28 for -2 yards (H.Landry).",1,1,10,"ARI","TEN","ARI",30,"00:31",0,10,"S",NA,-2,-2,NA,NA,NA,NA,NA,NA,80,"PISTOL","1 RB, 2 TE, 2 WR",6,"3 DL, 4 LB, 4 DB","SCRAMBLE_ROLLOUT_RIGHT",1,"Quarters","Zone",2021102403,1,1,1,"1"
"30",1091,2021091205,1.95182070931298,69.8088132642473,81.9297119047619,"(15:00) (Shotgun) T.Lawrence pass deep middle to D.Chark to HOU 44 for 27 yards (V.Hargreaves, Ju.Reid).",2,3,17,"JAX","HOU","JAX",29,"15:00",14,0,"C",NA,27,27,NA,NA,NA,NA,NA,NA,81,"SHOTGUN","1 RB, 1 TE, 3 WR",4,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",2021091912,0,1,0,"1"
"31",1095,2021091208,2.12205227195114,90.1883444685155,74.7561215686274,"(13:29) (Shotgun) J.Herbert pass deep right to M.Williams pushed ob at LAC 27 for 18 yards (K.Curl).",2,1,10,"LAC","WAS","LAC",9,"13:29",6,7,"C",NA,18,18,NA,NA,NA,NA,NA,NA,101,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",2021091208,0,0,0,"0"
"32",111,2021091201,2.89226284145475,18.0874668270341,362.025526356589,"(13:40) (No Huddle, Shotgun) J.Allen pass incomplete short left to S.Diggs (C.Heyward). Pass tipped at line.",1,3,5,"BUF","PIT","PIT",19,"13:40",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,29,"SHOTGUN","0 RB, 0 TE, 5 WR",4,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",2021101705,0,1,1,"1"
"33",1113,2021091202,2.29311073603422,11.6598526557532,387.498942424242,"(12:31) S.Darnold pass incomplete short left to I.Thomas.",2,1,10,"CAR","NYJ","NYJ",13,"12:31",0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,97,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",2021103112,0,1,0,"1"
"34",1122,2021091300,2.39935276924446,65.6067387460114,115.436203921569,"(12:16) (Shotgun) D.Carr sacked at LV 24 for -11 yards (P.McPhee).",2,3,10,"LV","BAL","LV",35,"12:16",0,7,"S",NA,-11,-11,NA,NA,NA,NA,NA,NA,45,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"1 DL, 4 LB, 6 DB","TRADITIONAL",0,"Cover-1","Man",2021103105,0,1,1,"1"
"35",1127,2021091212,3.23777915811547,60.9644779874545,179.599617021277,"(7:35) T.Bridgewater pass short left to N.Fant to NYG 38 for 25 yards (J.Bradberry, L.Ryan).",2,1,10,"DEN","NYG","DEN",37,"07:35",7,3,"C",NA,25,25,NA,NA,NA,NA,NA,NA,47,"I_FORM","1 RB, 3 TE, 1 WR",7,"3 DL, 4 LB, 4 DB","DESIGNED_ROLLOUT_RIGHT",1,"Cover-3","Zone",2021102410,1,1,0,"1"
"36",1128,2021091207,3.24861231166684,70.9746401603403,195.614791304348,"(15:00) (Shotgun) K.Murray pass short left to D.Hopkins to ARI 38 for 10 yards (J.Jenkins).",2,2,12,"ARI","TEN","ARI",28,"15:00",0,10,"C",NA,10,10,NA,NA,NA,NA,NA,NA,38,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",1,"Cover-1","Man",2021091207,0,0,0,"0"
"37",1130,2021091206,3.05326904980777,33.4241259174972,295.08772173913,"(8:41) C.Wentz pass short middle to J.Taylor to SEA 24 for 10 yards (C.Barton, A.Woods).",2,1,10,"IND","SEA","SEA",34,"08:41",3,14,"C",NA,10,10,NA,NA,NA,NA,NA,NA,76,"SINGLEBACK","1 RB, 2 TE, 2 WR",8,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",2021091206,0,1,0,"1"
"38",1141,2021091213,2.414857859512,72.5549117173591,134.888408823529,"(10:59) (Shotgun) A.Dalton pass short left to D.Mooney to CHI 35 for 9 yards (J.Ramsey).",2,2,9,"CHI","LA","CHI",26,"10:59",13,0,"C",NA,9,9,NA,NA,NA,NA,NA,NA,36,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone",2021102403,1,0,0,"1"
"39",1142,2021091209,2.18709425116433,60.4853692955569,125.352875757576,"(10:02) (Shotgun) P.Mahomes pass short middle to T.Hill to 50 for 11 yards (D.Ward; M.Stewart) [M.Jackson].",2,3,7,"KC","CLE","KC",39,"10:02",3,15,"C",NA,11,11,NA,NA,NA,NA,NA,NA,49,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 1 LB, 6 DB","TRADITIONAL",0,"Cover-1","Man",2021092609,1,1,0,"1"
"40",1145,2021091208,3.09626996090729,65.8762858507558,139.200308527132,"(12:29) J.Herbert pass short left to K.Allen to 50 for 16 yards (K.Curl).",2,2,3,"LAC","WAS","LAC",34,"12:29",6,7,"C",NA,16,16,NA,NA,NA,NA,NA,NA,76,"SINGLEBACK","1 RB, 2 TE, 2 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",2021102402,0,0,0,"0"
"41",1148,2021091201,2.34811230626079,49.1766103503956,166.149544827586,"(11:57) (Shotgun) J.Allen pass short right to S.Diggs to PIT 43 for 7 yards (J.Haden).",2,1,10,"BUF","PIT","",50,"11:57",3,0,"C",NA,7,7,NA,NA,NA,NA,NA,NA,60,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",2021102404,0,0,0,"0"
"42",1152,2021091207,3.13512315201279,61.2519464248014,194.361366666667,"(14:20) (Shotgun) K.Murray pass incomplete short right to D.Hopkins. PENALTY on TEN-J.Jenkins, Defensive Pass Interference, 17 yards, enforced at ARI 38 - No Play.",2,3,2,"ARI","TEN","ARI",38,"14:20",0,10,"I",17,0,17,"Defensive Pass Interference",38569,NA,NA,NA,NA,48,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"3 DL, 3 LB, 5 DB",NA,0,"Cover-1","Man",2021092602,0,0,0,"0"
"43",1153,2021091200,2.96459554908574,81.412769241935,123.656650980392,"(14:43) (Shotgun) J.Hurts pass short right to D.Goedert pushed ob at PHI 30 for 13 yards (F.Oluokun).",2,1,10,"PHI","ATL","PHI",17,"14:43",6,7,"C",NA,13,13,NA,NA,NA,NA,NA,NA,27,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"2 DL, 4 LB, 5 DB","SCRAMBLE",1,"Cover-3","Zone",2021101709,0,1,1,"1"
"44",1157,2021091205,2.5047954655543,28.0698719457501,231.9479525,"(13:17) T.Lawrence pass incomplete short middle to D.Chark.",2,2,9,"JAX","HOU","HOU",30,"13:17",14,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,40,"I_FORM","1 RB, 2 TE, 2 WR",8,"3 DL, 4 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",2021101012,0,1,0,"1"
"45",1163,2021091204,2.54833361662603,71.1450461494939,139.313797727273,"(10:39) J.Goff pass short left to D.Fells to DET 30 for 2 yards (D.Greenlaw).",2,2,7,"DET","SF","DET",28,"10:39",7,14,"C",NA,2,2,NA,NA,NA,NA,NA,NA,38,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,"3 DL, 4 LB, 4 DB","DESIGNED_ROLLOUT_LEFT",1,"Quarters","Zone",2021100313,0,0,0,"0"
"46",1166,2021091209,4.15403996787303,48.6018865260885,304.859939726027,"(9:20) (Shotgun) P.Mahomes pass incomplete deep right to T.Hill (D.Ward).",2,1,10,"KC","CLE","",50,"09:20",3,15,"I",NA,0,0,NA,NA,NA,NA,NA,NA,60,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","SCRAMBLE_ROLLOUT_RIGHT",1,"Cover-3","Zone",2021101711,1,1,0,"1"
"47",1171,2021091206,2.25696622217234,23.442908681744,297.434,"(7:54) (Shotgun) C.Wentz pass short middle to M.Pittman to SEA 10 for 14 yards (B.Wagner).",2,1,10,"IND","SEA","SEA",24,"07:54",3,14,"C",NA,14,14,NA,NA,NA,NA,NA,NA,86,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",2021101400,1,1,0,"1"
"48",1172,2021091201,2.56150865077288,42.2751285041087,250.276982,"(11:17) (No Huddle, Shotgun) J.Allen pass incomplete deep middle to S.Diggs.",2,2,3,"BUF","PIT","PIT",43,"11:17",3,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,67,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",1,"Cover-2","Zone",2021100302,0,1,0,"1"
"49",1174,2021091300,1.59149101781588,65.5194320201116,62.9950552845529,"(11:30) (Shotgun) L.Jackson pass deep left to M.Brown pushed ob at LV 39 for 29 yards (T.Moehrig).",2,1,10,"BAL","LV","BAL",32,"11:30",0,7,"C",NA,29,29,NA,NA,NA,NA,NA,NA,78,"PISTOL","2 RB, 1 TE, 2 WR",5,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",2021100311,1,1,0,"1"
"50",1175,2021091212,2.32357814366358,41.1958013219409,221.81455483871,"(6:07) (Shotgun) T.Bridgewater pass short right to J.Jeudy to NYG 37 for 5 yards (D.Holmes; J.Bradberry).",2,2,14,"DEN","NYG","NYG",42,"06:07",7,3,"C",NA,5,5,NA,NA,NA,NA,NA,NA,68,"EMPTY","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021091909,0,0,0,"0"
"51",1179,2021091205,2.42439109797769,30.0274709655859,233.422856481481,"(13:12) (Shotgun) T.Lawrence pass incomplete short right to J.O'Shaughnessy (C.Kirksey). PENALTY on JAX-J.Taylor, Offensive Holding, 10 yards, enforced at HOU 30 - No Play.",2,3,9,"JAX","HOU","HOU",30,"13:12",14,0,"I",-10,0,-10,"Offensive Holding",47818,NA,NA,NA,NA,40,"EMPTY","0 RB, 1 TE, 4 WR",6,"3 DL, 3 LB, 5 DB",NA,0,"Cover-3","Zone",2021092611,0,0,1,"1"
"52",1182,2021091200,2.1776847295393,70.2430220320216,103.228934042553,"(14:11) (Shotgun) J.Hurts pass deep right to Z.Ertz to ATL 42 for 28 yards (A.Terrell).",2,1,10,"PHI","ATL","PHI",30,"14:11",6,7,"C",NA,28,28,NA,NA,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021110100,1,1,0,"1"
"53",1187,2021091204,2.28430569246302,69.454608122334,151.844247058824,"(9:50) (Shotgun) J.Goff pass short left to J.Williams pushed ob at DET 36 for 6 yards (D.Greenlaw).",2,3,5,"DET","SF","DET",30,"09:50",7,14,"C",NA,6,6,NA,NA,NA,NA,NA,NA,40,"EMPTY","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021100300,0,0,0,"0"
"54",1188,2021091209,2.07118967018336,48.5112644391118,170.044888235294,"(9:11) (Shotgun) P.Mahomes pass short middle to B.Pringle to CLE 44 for 6 yards (A.Walker).",2,2,10,"KC","CLE","",50,"09:11",3,15,"C",NA,6,6,NA,NA,NA,NA,NA,NA,60,"EMPTY","1 RB, 1 TE, 3 WR",4,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Quarters","Zone",2021101704,0,0,0,"0"
"55",1190,2021091208,2.74504935866048,51.8088267199079,175.011358024691,"(11:15) J.Herbert pass short right to K.Allen to WAS 43 for 10 yards (J.Bostic) [C.Holcomb].",2,2,13,"LAC","WAS","LAC",47,"11:15",6,7,"C",NA,10,10,NA,NA,NA,NA,NA,NA,63,"SINGLEBACK","1 RB, 2 TE, 2 WR",8,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",2021101700,1,1,0,"1"
"56",1195,2021091206,2.33560431003257,9.5686393774195,377.598208823529,"(7:08) (Shotgun) C.Wentz pass short middle to Z.Pascal for 10 yards, TOUCHDOWN.",2,1,10,"IND","SEA","SEA",10,"07:08",3,14,"C",NA,10,10,NA,NA,NA,NA,NA,NA,100,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Red Zone","Other",2021091206,0,0,0,"0"
"57",1199,2021091212,1.87159908370255,38.0498718018519,218.659352941176,"(5:22) (Shotgun) T.Bridgewater pass short left to J.Jeudy pushed ob at NYG 26 for 11 yards (D.Holmes). PENALTY on NYG-D.Holmes, Unnecessary Roughness, 13 yards, enforced at NYG 26.",2,3,9,"DEN","NYG","NYG",37,"05:22",7,3,"C",13,11,24,"Unnecessary Roughness",52518,NA,NA,NA,NA,73,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"1 DL, 4 LB, 6 DB","TRADITIONAL",0,"Cover-1","Man",2021091903,1,0,0,"1"
"58",1201,2021091210,2.01826292810398,74.1440120962674,102.050608045977,"(10:14) (Shotgun) T.Tagovailoa pass short left to D.Parker to MIA 48 for 23 yards (K.Dugger, D.McCourty).",2,2,10,"MIA","NE","MIA",25,"10:14",3,7,"C",NA,23,23,NA,NA,NA,NA,NA,NA,85,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",2021091210,0,0,0,"0"
